model,organization,release_date,benchmark_name,benchmark_score,benchmark_source_type,benchmark_source_url,secondary_benchmark_name,secondary_benchmark_score,secondary_benchmark_source_url,secondary_benchmark_note,input_price_usd_per_m,output_price_usd_per_m,price_source_url,price_wayback_url,price_wayback_timestamp,price_asof_note,later_price_change_note
GPT-4 (Mar 2023),OpenAI,2023-03-14,MMLU,86.4,technical report (5-shot),https://arxiv.org/html/2303.08774v4,,,,,30.00,60.00,https://openai.com/pricing,https://web.archive.org/web/20230314193245/https://openai.com/pricing,2023-03-14T19:32:45Z,same day as release; 8K-context tier (32K tier was $60/$120),not checked
Claude 2,Anthropic,2023-07-11,MMLU,78.5,model card (5-shot CoT),https://www-cdn.anthropic.com/bd2a28d2535bfb0494cc8e2a3bf135d2e7523226/Model-Card-Claude-2.pdf,,,,,11.02,32.68,https://www-cdn.anthropic.com/90df03aed08b794ab03c5a7bf28b2ad9cf26cf3c/model_pricing_july2023.pdf,,,dated PDF titled model_pricing_july2023.pdf; content-addressed so no separate Wayback snapshot taken,not checked
GPT-4 Turbo (Nov 2023),OpenAI,2023-11-06,MMLU,,,,,,,"GAP: no primary-sourced MMLU found (a third-party ""86.5%"" figure could not be traced to any OpenAI document). No secondary benchmark available either -- GPQA Diamond had not been published/adopted yet at this release date.",10.00,30.00,https://openai.com/pricing,https://web.archive.org/web/20231106182846/https://openai.com/pricing,2023-11-06T18:28:46Z,same day as release; gpt-4-1106-preview,not checked
Claude 3 Opus,Anthropic,2024-03-04,MMLU,86.8,model card Table 1 (5-shot),https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,GPQA Diamond,50.4,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,"Not needed as a substitute (MMLU available), but recorded since it's in the same primary table -- 0-shot CoT, mean of 10 rollouts per the source's own methodology note.",15.00,75.00,https://www.anthropic.com/news/claude-3-family,https://web.archive.org/web/20240304143650/https://www.anthropic.com/news/claude-3-family,2024-03-04T14:36:50Z,same day as release,not checked (Opus price appears unchanged as of Sept 2026)
GPT-4o,OpenAI,2024-05-13,MMLU,87.2,announcement blog (5-shot),https://openai.com/index/hello-gpt-4o/,,,,,5.00,15.00,https://openai.com/api/pricing,https://web.archive.org/web/20240513221325/https://openai.com/api/pricing/,2024-05-13T22:13:25Z,same day as release (model gpt-4o-2024-05-13),"Later cut to $2.50/$10.00 -- exact date not pinned down. Do not use the cut price for this row."
Claude 3.5 Sonnet,Anthropic,2024-06-20,MMLU,90.4,model card addendum (5-shot CoT),https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,,,,,3.00,15.00,https://www.anthropic.com/news/claude-3-5-sonnet,,,static announcement page (not a live-edited pricing page; no Wayback needed),not checked
Llama 3.1 405B (Instruct),Meta,2024-07-23,MMLU,88.6,"DeepSeek-V3 paper Table 6, EM, shot count not stated -- SEE NOTE: not Meta's own primary announcement (deviation, per Jeff's instruction, for crosswalk-methodology consistency with the V3/R1 rows)",https://arxiv.org/pdf/2412.19437,GPQA Diamond,51.1,https://arxiv.org/pdf/2412.19437,"Same source/table as the benchmark_score column, same caveats.",5.00,5.00,https://web.archive.org/web/20240725130005/https://www.together.ai/pricing,https://web.archive.org/web/20240725130005/https://www.together.ai/pricing,2024-07-25T13:00:05Z,"2 days after release (earliest available snapshot); open-weight model, no lab-set price -- this is Together AI's serverless 'Turbo' tier, and Together prices chat models with a SINGLE BLENDED rate per million tokens covering BOTH input and output (page states this explicitly) -- $5.00 appears in both price columns here for schema consistency, but there is no real input:output split to sensitivity-test for this row, unlike every other row in the panel. Cross-check: Meta's own announcement independently reports MMLU 87.3% (5-shot, no CoT) and 88.6% (5-shot CoT) for the same model -- the DeepSeek-table figure used here matches Meta's own CoT number exactly.",not checked
o1,OpenAI,2024-12-05,MMLU,92.3,system card Table 17 (0-shot English),https://cdn.openai.com/o1-system-card-20241205.pdf,,,,,15.00,60.00,https://openai.com/api/pricing,https://web.archive.org/web/20241221052946/https://openai.com/api/pricing/,2024-12-21T05:29:46Z,"model id o1-2024-12-17 (API GA); ChatGPT release was 2024-12-05, API GA 2024-12-17; snapshot is 4 days after API GA, no evidence of change in that window; cached input $7.50/M",not checked
DeepSeek-V3,DeepSeek,2024-12-26,MMLU,88.5,"technical report Table 6, EM, shot count not stated in source",https://arxiv.org/pdf/2412.19437,GPQA Diamond,59.1,https://arxiv.org/pdf/2412.19437,"Not needed as a substitute (MMLU available), but recorded since it's in the same primary table (Table 6, Pass@1, shot count not stated).",0.27,1.10,https://api-docs.deepseek.com/quick_start/pricing,https://web.archive.org/web/20241226173216/https://api-docs.deepseek.com/quick_start/pricing,2024-12-26T17:32:16Z,"same day as release; STANDARD/list price used deliberately, not the launch-day PROMOTIONAL price ($0.14 in/$0.28 out cache-miss), which was in effect only through 2025-02-08 16:00 UTC -- excluded from the panel per Jeff's decision so no pre-R1-event month is contaminated by a temporary discount. Both figures are stated directly in USD on the same cited page/snapshot (no currency conversion needed). Cache-hit input (standard) $0.07/M.","Further cuts since 2025-02-08; not pinned down further."
DeepSeek-R1,DeepSeek,2025-01-20,MMLU,90.8,"paper Table 3, EM, shot count not stated in source",https://arxiv.org/abs/2501.12948,GPQA Diamond,71.5,https://arxiv.org/abs/2501.12948,"Not needed as a substitute (MMLU available), but recorded since it's in the same primary table (Table 3, Pass@1, shot count not stated).",0.55,2.19,https://api-docs.deepseek.com/quick_start/pricing,https://web.archive.org/web/20250121065123/https://api-docs.deepseek.com/quick_start/pricing,2025-01-21T06:51:23Z,"1 day after release; source explicitly states R1 was NOT part of any launch discount, so this is the standard at-launch price; cache-hit input $0.14/M; CoT/reasoning tokens billed as output tokens",DeepSeek has cut prices multiple times since; not pinned down further
